9993	0
9991	0
1234	90
9992	0
9993	0
9991	0
1234	3
9992	0
9991	0
3492	30
9992	0
9991	0
1242	100
9992	0
9991	0
1242	1
9992	0
9991	0
3492	30
9992	0
9993	0
9991	0
3492	20
9992	0
9991	0
3492	100
9992	0
9991	0
3492	1
9992	0
9991	0
3492	1
9992	0
9991	0
3492	1
9992	0
9991	0
3492	1
9992	0
9991	0
3492	1
3492	1
9992	0
9991	0
3492	1
9992	0
9991	0
3492	1
9992	0
9991	0
3492	20
9992	0
9991	0
3492	1
3492	1
9992	0
9991	0
3492	10
9992	0
9991	0
3492	1
3492	1
3492	1
3492	1
3492	1
3492	1
3492	1
3492	1
3492	1
9992	0
9993	0
9991	0
2971	1
2971	1
2971	1
9992	0
9991	0
1120	1
1120	1
9992	0
9993	0
9991	0
2971	3
2971	5
9992	0
9991	0
2236	300
9992	0
9993	0
9993	0
